20140901,389720603.72,311480462.65
20140902,304925622.74,268861003.78
20140903,346152381.57,347253255.70
20140904,348340705.02,282115356.90
20140905,297131546.94,252459205.72
20140906,228285752.16,162999637.80
20140907,186513999.35,156418488.28
20140908,356247875.22,324238330.65
20140909,342460427.57,294280547.78
20140910,391306235.41,309813900.20
20140911,318800112.35,294696350.90
20140912,243214602.44,252051437.22
20140913,176422413.66,190914055.14
20140914,173724849.35,214000898.12
20140915,360197694.72,306923118.65
20140916,371210298.57,362742612.12
20140917,303192359.74,349132557.20
20140918,312680593.35,269454627.90
20140919,252196051.61,258013429.88
20140920,219546612.16,153682784.80
20140921,184364444.02,200713561.28
20140922,307409256.22,337985553.15
20140923,285097040.24,312824509.95
20140924,287388754.41,347752844.54
20140925,275376240.69,305232879.73
20140926,218886479.11,308870612.72
20140927,166774193.82,234765859.97
20140928,169126544.69,264991643.45
20140929,308691056.55,345849414.48
20140930,296108983.40,343985733.78
