20140901,385660500.16,295329174.06
20140902,300134693.55,256262025.54
20140903,348521295.79,343706501.83
20140904,360060300.19,300389266.34
20140905,296645761.34,248980732.31
20140906,212661378.54,164832636.45
20140907,201993328.73,180894181.28
20140908,345981563.16,311378109.89
20140909,345537110.76,286060031.84
20140910,401069165.77,300353815.27
20140911,326398715.33,313306953.84
20140912,247975927.24,248582976.61
20140913,175877978.17,183529450.34
20140914,192886618.60,224755385.77
20140915,350663722.23,289596200.38
20140916,380313197.75,366314540.91
20140917,298526501.32,345882628.20
20140918,319425506.96,287389709.96
20140919,256083316.20,254398571.78
20140920,206463256.80,158592296.04
20140921,200462704.93,214634263.72
20140922,288087732.18,328671617.85
20140923,276149872.55,307798151.99
20140924,280135030.21,344284997.85
20140925,276917096.68,324125462.04
20140926,226015377.77,304006949.88
20140927,169035103.36,212900976.32
20140928,189612325.33,263595641.24
20140929,289607192.26,338564070.57
20140930,289470012.09,344326830.24
